t_s,e_div12_V,e_div3_V,i_ind_fig7_A,i_tot_fig7_A
0.00000,49.6,5.9,-94.2,4910.8
0.00005,49.6,5.9,-94.2,4910.8
0.00010,49.6,5.9,-94.2,4910.8
0.00015,49.6,5.9,-94.2,4910.8
0.00020,49.6,5.9,-94.2,4910.8
0.00025,49.6,5.9,-94.2,4910.8
0.00030,49.6,5.9,-94.2,4910.8
0.00035,49.6,5.9,-94.2,4910.8
0.00040,49.6,5.9,-94.2,4910.8
0.00045,49.6,5.9,-89.3,4915.7
0.00050,49.6,5.9,-73.6,4931.4
0.00055,49.6,5.9,-6.2,4998.8
0.00060,49.6,5.9,-6.2,4998.8
0.00065,49.6,5.9,-6.2,4998.8
0.00070,49.6,5.9,-6.2,4998.8
0.00075,49.6,5.9,-17.3,4987.6
0.00080,49.6,5.9,-17.3,4987.6
0.00085,49.6,5.9,-17.3,4987.6
0.00090,49.6,6.8,-28.4,4987.6
0.00095,49.6,8.2,-26.6,5016.7
0.00100,49.6,9.6,-26.6,4987.6
0.00105,49.6,9.9,-28.4,4976.5
0.00110,49.6,9.9,-26.6,4976.5
0.00115,49.6,9.9,-26.6,4962.7
0.00120,49.6,9.9,-26.6,4915.0
0.00125,49.6,9.9,-10.9,4915.0
0.00130,49.6,9.9,-10.9,4915.0
0.00135,49.6,11.2,-10.9,4915.0
0.00140,49.6,12.6,4.8,4915.0
0.00145,49.6,13.9,4.8,4915.9
0.00150,49.6,13.9,4.8,4916.9
0.00155,49.6,13.9,18.5,4917.9
0.00160,49.6,13.9,7.4,4918.9
0.00165,49.6,13.9,7.4,4919.8
0.00170,49.6,13.9,18.5,4920.8
0.00175,49.6,13.9,7.4,4921.8
0.00180,49.6,13.9,7.4,4922.8
0.00185,49.6,13.9,7.4,4923.7
0.00190,49.6,13.9,-3.7,4924.7
0.00195,49.6,13.9,-3.7,4925.7
0.00200,49.6,13.9,-3.7,4926.7
0.00205,49.6,13.9,-3.7,4927.6
0.00210,49.6,13.9,30.9,4928.6
